證券代碼,名稱,資料期間 (年),年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%)
00981A.TW,主動統一台股增長,0.42,41.41,46.0,1.1,1.5,26.67,-6.93,17.47,75,1.32,1.5
00980A.TW,主動野村台灣優選,0.41,31.4,33.01,0.79,1.63,18.39,-5.72,12.03,80,0.785,2.2
00985A.TW,主動野村台灣50,0.42,30.85,21.87,0.9,1.55,18.97,-5.84,9.52,78,0.485,2.0
00982A.TW,主動群益台灣強棒,0.42,30.51,11.04,1.06,1.16,25.09,-11.31,15.83,70,0.835,4.07
00986A.TW,主動台新龍頭成長,0.31,15.44,-3.76,0.7,0.72,19.32,-6.51,15.33,68,0.95,N/A
00983A.TW,主動中信ARK創新,0.42,12.27,-44.44,1.0,0.4,26.99,-16.19,19.67,25,1.0,0.8
00984A.TW,主動安聯台灣高息,0.42,11.23,-5.15,0.44,0.85,11.46,-4.6,13.21,85,0.74,1.93
00988A.TW,主動統一全球創新,0.13,-0.69,-18.3,1.26,-0.07,32.14,-8.51,20.1,50,1.05,N/A
00989A.TW,主動摩根美國科技,0.16,-2.22,-15.23,1.0,-0.13,27.78,-11.17,19.79,55,1.1,N/A
